Actionnaires;Pourcentage
Famille Pinault;0.36%
Actionnaires divers;8.16%
Bernard Arnault;13.98%
Crédit Mutuel;0.05%
Édouard Coudurier;0.64%
Famille Amaury;1.56%
Famille Baylet;4.89%
Famille Dassault;6.93%
Famille Hurbain;2.49%
Famille Lemoine;2.23%
Fondation Varenne;2.23%
Franck Julien;12.1%
Indépendants;19.2%
Les Augustins de l’Assomption;5.99%
Patrick Drahi;7.42%
Vincent Bolloré;1.92%
Xavier Niel;9.86%
;
